,county_year,eyewear_coverage_indicator,monthlyconsolidatedpremiumi,dental_coverage_indicator,hearing_aides_coverage_indicator,treated,untreated,excluded,persistent_treated,persistent_excluded,year,specialist_min_copay,county_encoded,Median_Household_Income,Total_Population,Percent_Hispanic,Percent_NonHispanic_Black,Percent_Unemployed,Percent_Female,Percent_Below_Poverty,Percent_HS,Percent_College
57,01100_2012,0.5833333333333334,30.5,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,2012.0,29.583333333333332,3.0,40834.0,43611.0,7.424732292311572,9.761298754901286,11.331165632081978,50.72344133360849,18.566104127601456,75.73674209708066,12.465019865261704
58,01100_2013,0.625,36.90625,0.5625,0.0625,0.0,1.0,0.0,0.0,0.0,2013.0,29.0625,3.0,41250.0,43744.0,7.671909290416972,9.76819678127286,10.26983487716472,50.79325164594002,19.516874711049468,75.9504470684595,12.920619752917888
59,01100_2014,0.5454545454545454,34.72727272727273,0.7272727272727273,0.09090909090909091,0.0,1.0,0.0,0.0,0.0,2014.0,31.818181818181817,3.0,41785.0,43781.0,7.688266599666522,10.136817340855622,9.688952449052557,50.72520042941002,18.775698775698775,77.52866328717722,13.533834586466163
60,01100_2015,0.6666666666666666,35.75,0.6666666666666666,0.16666666666666666,1.0,0.0,0.0,1.0,0.0,2015.0,33.333333333333336,3.0,41627.0,43819.0,7.645085465209156,10.20333645222392,9.148601309844139,50.662954426162166,19.148837854073285,78.40662323561347,14.08455483170467
61,01100_2016,0.8571428571428571,45.92857142857143,0.7142857142857143,0.5714285714285714,1.0,0.0,0.0,1.0,0.0,2016.0,30.714285714285715,3.0,42594.0,43817.0,7.624894447360613,10.009813542688912,7.938580456468377,50.79763562087775,20.2743585598485,80.09752816546157,14.854548511854718
62,01100_2017,0.6363636363636364,42.09090909090909,0.7272727272727273,0.36363636363636365,1.0,0.0,0.0,1.0,0.0,2017.0,27.272727272727273,3.0,43501.0,43805.0,7.695468553818059,9.48293573792946,6.7085400612266435,50.79557128181714,19.384643814099604,81.84665117688655,15.099168266154832
63,01100_2018,0.8461538461538461,34.30769230769231,0.8461538461538461,0.46153846153846156,1.0,0.0,0.0,1.0,0.0,2018.0,33.84615384615385,3.0,45182.0,43930.0,7.776007284315957,9.360346005007967,7.092801019324697,50.66697017983155,18.571428571428573,82.20387339307891,14.161044540663912
64,01100_2019,0.9375,28.5625,1.0,0.5625,1.0,0.0,0.0,1.0,0.0,2019.0,30.9375,3.0,47468.0,44055.0,7.847009420043127,9.172625127681307,6.408202499198974,51.29043241402792,19.115818558600044,81.78126872129403,12.723823470678294
65,01130_2009,0.45,60.61,0.65,0.45,0.0,0.0,0.0,0.0,0.0,2009.0,31.11111111111111,2503.0,37652.0,13769.0,2.658145108577239,14.372866584356164,8.918617614269788,51.31091582540489,17.732721860165743,70.75318890463656,8.979550516298845
66,01130_2010,0.35714285714285715,84.07142857142857,0.6428571428571429,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,2010.0,28.846153846153847,2503.0,35595.0,14040.0,2.5641025641025643,15.384615384615385,5.438324282389449,51.047008547008545,18.84412506689091,71.3980463980464,9.503459503459501
